N,P,K,temperature,humidity,ph,rainfall,label
126,41,23,25.709191,81.735764,7.461843,91.712891,cotton
5,7,10,11.190931,92.012367,7.123024,119.48514,orange
25,53,23,27.309389,89.483768,6.606445,48.40194,mungbean
114,16,198,24.490123,88.973936,6.05698,50.09597,watermelon
105,46,44,20.809923,88.657104,6.042905,260.634857,rice
99,7,45,27.835532,94.870653,6.031691,29.114515,muskmelon
33,120,195,22.466482,94.1917,6.425339,104.849015,apple
39,140,196,23.790046,81.460871,6.157747,70.175209,grapes
116,35,29,27.11079,65.69008,6.805785,178.347059,coffee
26,131,202,21.175464,90.115907,6.253617,103.238094,apple
39,12,14,10.949507,92.619587,6.004312,105.419753,orange
10,25,32,29.700213,92.172427,6.447734,197.886581,coconut
9,17,35,23.51329,86.117651,6.842759,93.803163,pomegranate
6,69,21,20.456289,24.823063,5.840185,126.595162,kidneybeans
72,53,18,24.549941,71.303988,5.826494,108.690935,maize
28,127,198,16.528291,80.48479,5.620508,69.036816,grapes
21,36,22,26.151104,33.736866,8.896974,40.937228,mothbeans
32,74,76,17.775963,16.886255,6.596492,95.189574,chickpea
70,42,16,22.732281,57.836346,5.975096,91.335324,maize
91,37,36,23.722871,82.138581,6.28693,150.008322,jute
3,21,27,29.051076,47.267749,5.576367,78.325021,mango
113,40,54,21.890056,91.02791,6.443283,209.850377,rice
45,72,18,26.780176,65.190076,6.807263,68.852304,blackgram
110,18,50,25.685031,87.968976,6.87121,51.45595,watermelon
99,18,47,24.43073,89.331623,6.891112,44.030114,watermelon
88,9,48,29.436307,91.438753,6.073958,20.679827,muskmelon
101,53,17,25.593966,75.248878,6.652037,76.475912,cotton
82,56,22,18.347015,70.462201,5.825305,105.157482,maize
28,69,20,23.662939,63.847153,6.060627,45.729613,lentil
14,56,21,30.209486,57.222414,3.962071,45.272197,mothbeans
58,62,53,36.648691,92.045775,6.616995,240.901743,papaya
43,67,23,34.245041,66.734931,6.730904,73.192605,blackgram
97,50,44,25.848982,73.782191,6.401519,165.489145,jute
13,45,23,27.081516,83.32831,6.507594,55.869034,mungbean
23,143,196,25.861033,83.90333,6.21893,69.11446,grapes
22,40,18,31.085267,85.718492,6.719583,63.887255,mungbean
80,43,20,26.377368,65.415229,5.900811,103.869939,maize
95,29,34,25.136306,52.539953,6.769625,167.805412,coffee
81,42,39,24.818824,72.170422,6.47813,153.485421,jute
15,72,20,22.366713,68.034975,6.694766,63.635504,lentil
34,77,79,18.071955,14.371335,7.642607,78.288326,chickpea
1,5,9,31.882884,92.834622,6.052702,116.807008,orange
78,52,39,25.168981,73.3972,7.229332,186.1156,jute
20,54,20,27.974252,88.141907,6.347916,55.57828,mungbean
107,81,52,28.066124,79.416035,6.049022,109.953722,banana
110,84,47,25.031781,82.726499,5.812299,100.351014,banana
90,47,52,21.909753,85.562792,5.295581,235.182706,rice
99,8,51,25.136949,87.844797,6.657895,54.668724,watermelon
112,23,32,26.630536,64.430893,6.034379,163.321223,coffee
26,65,16,28.337352,57.894833,7.364964,130.868785,pigeonpeas
113,17,54,28.435164,93.310658,6.458192,22.491242,muskmelon
80,13,48,28.005047,92.16615,6.460025,24.017805,muskmelon
16,28,27,27.315396,45.917548,4.505446,91.971903,mango
89,25,27,26.945822,61.333965,7.452517,167.567341,coffee
6,127,197,24.830371,82.775792,5.680076,72.548978,grapes
35,19,14,32.848621,91.674365,6.57988,116.284282,orange
19,18,42,21.747677,91.878281,6.437793,64.760441,pomegranate
1,49,25,30.680513,89.925855,6.654352,59.949472,mungbean
17,69,17,25.313127,68.743475,6.031305,58.316743,lentil
90,57,16,24.830861,55.34121,6.950582,90.752901,maize
78,38,41,25.061648,83.598074,6.776272,161.362496,jute
27,19,39,22.609356,91.283936,6.239123,90.843163,pomegranate
12,63,16,21.595994,66.928043,6.191553,43.286553,lentil
6,11,6,33.28023,90.031187,7.317685,103.36724,orange
44,76,81,18.951058,14.079897,7.212524,99.618083,chickpea
28,67,77,18.948593,19.942211,7.824302,69.14223,chickpea
27,62,18,29.690426,61.570141,6.741568,74.332988,blackgram
15,15,43,18.592921,88.824787,6.977775,35.17322,pomegranate
35,15,7,12.488787,93.216607,6.803347,114.685937,orange
30,74,78,17.415952,19.447391,7.418102,86.534675,chickpea
43,63,46,36.293126,91.827697,6.967725,100.857614,papaya
14,39,22,26.741239,34.282783,7.358399,40.389445,mothbeans
37,53,19,29.878187,44.468479,6.165335,39.692503,mothbeans
103,19,51,27.516987,94.758068,6.18794,21.281461,muskmelon
36,50,17,29.370278,86.676201,6.395318,59.643436,mungbean
81,41,18,20.322533,65.646407,6.554784,107.463995,maize
19,60,24,29.503882,86.270581,6.514552,51.067122,mungbean
39,18,33,27.45842,90.956666,5.901921,192.044019,coconut
37,6,44,24.428977,94.97706,6.777889,54.697838,pomegranate
37,11,10,20.076845,93.697346,6.597261,110.219917,orange
40,75,17,27.116936,66.84273,7.280639,73.863648,blackgram
32,70,22,27.872025,61.35766,7.059218,73.546498,blackgram
6,144,205,9.538222,80.278263,5.862677,74.394692,grapes
9,125,195,23.275485,91.747783,6.258592,103.255741,apple
99,28,25,25.074892,65.062516,6.40121,153.797954,coffee
25,65,84,17.825806,18.785158,7.616099,97.44572,chickpea
17,138,196,22.439887,93.964266,5.748635,121.59211,apple
71,39,38,24.545254,76.34915,6.534122,155.535067,jute
7,30,26,34.702264,45.277895,6.61325,72.673632,mango
110,16,48,26.040084,89.41515,6.839024,44.431279,watermelon
46,54,50,42.381462,94.554786,6.628239,155.30464,papaya
0,19,10,27.150868,92.543606,6.921166,119.619898,orange
14,10,26,25.129227,94.125378,5.537836,163.993152,coconut
11,49,16,24.991911,42.165418,5.647296,44.865597,mothbeans
96,91,50,29.589823,79.246977,5.566964,106.449051,banana
36,12,43,19.007587,87.524091,6.69299,104.506033,pomegranate
38,66,82,19.927721,16.053358,6.751177,77.568728,chickpea
119,12,50,25.377543,87.1707,6.335236,40.534934,watermelon
43,66,18,30.922183,67.398666,6.884098,70.09562,blackgram
17,130,196,22.795771,90.621517,5.761741,107.478481,apple
66,57,37,25.708765,89.635804,7.108703,188.152174,jute
19,77,19,20.612193,63.76607,6.150551,42.12248,lentil
11,82,18,22.367141,45.906689,6.862094,190.208169,pigeonpeas
73,41,35,26.415691,71.485216,6.204447,195.972699,jute
19,67,19,20.753966,21.26976,5.876521,60.534488,kidneybeans
15,64,23,15.789962,24.624909,5.734111,90.251078,kidneybeans
95,11,50,27.42999,94.40941,6.625876,23.744362,muskmelon
87,48,59,20.697305,94.179523,6.304233,234.499488,rice
100,19,53,28.32894,90.443559,6.030197,28.742308,muskmelon
98,70,49,25.916354,82.18949,5.507867,108.325892,banana
28,16,11,12.382197,91.826363,6.019737,101.949189,orange
22,88,23,25.707044,53.721326,6.739493,135.564316,pigeonpeas
27,140,199,21.955585,93.655178,5.769164,121.761518,apple
3,36,20,24.228011,32.084318,5.946219,36.853372,mothbeans
33,12,29,25.291579,94.221708,6.144867,189.752483,coconut
124,49,19,22.023139,83.613791,7.025455,64.490992,cotton
37,36,15,29.93874,85.429862,6.215706,47.061375,mungbean
3,69,22,15.944873,20.143884,5.918009,118.156292,kidneybeans
35,16,44,21.235867,92.132562,6.004087,77.643581,pomegranate
44,57,46,26.399715,94.51764,6.588517,152.827515,papaya
26,12,11,34.274153,90.453288,6.892178,113.551799,orange
81,46,53,22.030543,89.270231,5.643153,196.256888,rice
56,55,49,33.857386,92.383595,6.815213,53.339672,papaya
42,63,51,29.588038,90.523209,6.561909,168.143872,papaya
24,72,22,25.761673,33.550319,6.151737,139.97616,pigeonpeas
6,67,17,24.905392,22.000482,5.866408,68.842492,kidneybeans
110,89,54,27.20726,81.300615,6.343648,97.334458,banana
33,20,31,27.762748,96.776691,5.924479,227.199998,coconut
13,72,20,27.91636,44.709067,6.788201,97.395194,pigeonpeas
95,44,56,20.397937,90.454959,6.168043,273.288907,rice
47,53,47,35.482555,94.73973,6.676209,88.440418,papaya
91,54,23,20.70586,71.015972,6.323269,83.66631,maize
71,58,35,25.014171,73.562304,7.275127,176.209175,jute
11,59,19,26.491601,55.500325,7.450081,45.267239,mothbeans
85,46,42,22.225882,86.213945,5.096221,263.096654,rice
70,46,23,19.832588,66.326232,5.778725,65.236805,maize
94,33,28,24.052105,60.752998,6.159007,196.735758,coffee
9,78,17,27.054266,36.92289,5.887279,133.650166,pigeonpeas
38,7,34,29.803876,93.49371,5.518079,178.22507,coconut
44,64,83,18.093395,19.322789,6.331091,88.308597,chickpea
19,23,33,33.077457,48.114704,6.877723,87.548468,mango
28,23,27,29.438593,97.939538,5.558481,221.96681,coconut
29,17,41,19.652237,91.947589,6.157859,100.871185,pomegranate
76,47,17,23.297751,70.064802,5.853751,91.024995,maize
4,36,22,29.24217,30.28697,4.939624,56.140461,mothbeans
33,44,15,27.409218,32.975092,5.593354,64.55464,mothbeans
9,14,13,17.137697,94.885055,6.195398,109.478542,orange
104,15,49,29.00886,92.02058,6.608069,25.3581,muskmelon
86,42,24,24.557029,61.593023,6.687642,65.408276,maize
14,87,19,23.481975,52.846119,7.244083,171.250258,pigeonpeas
96,79,53,28.683963,76.789109,5.908094,95.068168,banana
44,80,77,19.627353,14.638972,7.301828,93.955963,chickpea
55,64,23,30.097389,61.061179,6.811484,71.869457,blackgram
1,80,24,24.41384,65.030607,4.851159,116.175675,pigeonpeas
26,14,8,16.451541,92.078116,6.718151,118.3518,orange
29,48,16,25.405413,45.125831,5.854682,51.74414,mothbeans
30,51,16,29.087731,88.871362,6.607827,59.872611,mungbean
19,31,26,34.86659,51.807251,6.432467,68.980727,mango
51,66,46,25.945177,94.949411,6.565394,172.443706,papaya
102,10,49,29.367503,94.520101,6.165697,22.789769,muskmelon
20,15,35,19.821697,92.031447,6.344402,57.8491,pomegranate
108,53,59,20.723087,93.007507,5.043785,244.190023,rice
120,44,53,21.843257,80.309765,6.137568,218.402058,rice
37,74,20,34.408649,60.683752,6.655797,66.945683,blackgram
39,64,45,37.418667,93.745832,6.541757,98.695733,papaya
55,64,22,26.65116,69.381122,7.163325,69.151209,blackgram
107,37,32,23.255061,51.249264,6.291189,179.37031,coffee
62,43,16,22.280302,71.400449,5.947281,67.546745,maize
119,40,27,24.786269,56.568042,6.371761,155.478752,coffee
40,11,9,17.103052,92.788605,7.289805,113.387714,orange
108,55,50,26.692585,89.659853,5.635783,252.767186,rice
2,44,16,28.494503,52.455781,9.916095,40.85416,mothbeans
29,49,19,27.212625,84.325457,6.61248,61.461245,mungbean
29,9,7,34.51139,94.101774,7.02322,106.511908,orange
0,80,17,18.125627,19.458898,5.964051,118.681157,kidneybeans
27,12,42,18.182212,91.767015,6.324393,100.952307,pomegranate
20,17,32,29.720789,93.666115,6.070805,178.416381,coconut
34,30,26,34.223473,53.455903,4.62019,91.964556,mango
6,48,20,29.95616,86.798875,7.061019,49.599345,mungbean
117,38,20,24.892458,80.101512,7.130008,91.896814,cotton
93,55,53,21.680142,82.408082,6.194587,295.099992,rice
22,79,82,20.367263,17.400016,6.953603,86.765884,chickpea
31,43,24,27.312783,84.934669,6.854684,51.243886,mungbean
11,141,203,21.345624,92.776406,6.467374,120.730773,apple
15,68,18,32.129212,47.484282,5.756365,92.253525,pigeonpeas
28,74,19,30.447599,69.462065,6.75918,68.010995,blackgram
92,48,44,21.303351,94.165586,6.109326,238.855057,rice
81,5,55,24.28424,84.509969,6.838719,46.323256,watermelon
52,77,22,25.584613,68.084637,6.525744,68.877681,blackgram
29,7,42,20.884415,87.596148,6.601951,57.664263,pomegranate
37,14,12,11.516766,93.478583,6.126001,106.415757,orange
89,36,19,23.869121,72.06492,6.212987,108.460294,maize
28,129,204,14.003975,84.828712,5.888205,72.803046,grapes
30,78,76,20.29596,14.089858,6.914777,87.5539,chickpea
0,67,19,26.191484,65.460206,6.407032,137.788582,pigeonpeas
73,57,35,26.404358,74.989199,7.475745,152.036796,jute
52,62,49,36.501411,91.624976,6.676455,119.646276,papaya
7,5,42,19.133664,89.55389,6.120388,62.413858,pomegranate
110,37,31,26.395735,58.261161,6.724624,179.009372,coffee
30,21,27,35.786649,51.38201,6.143219,95.724326,mango
32,52,21,29.380037,51.176291,7.667308,53.612633,mothbeans
89,58,38,26.500388,72.921755,7.322735,190.091018,jute
115,6,50,25.309165,88.623542,6.968786,54.304394,watermelon
15,9,37,24.732571,89.474143,6.678122,63.061112,pomegranate
108,41,53,24.694465,83.155738,5.193389,217.851402,rice
32,136,202,20.996386,83.011737,5.640677,73.904641,grapes
22,10,35,26.416358,92.832217,6.02761,182.896838,coconut
64,41,36,23.917591,73.963952,6.089353,152.921981,jute
0,73,20,29.448717,61.63074,6.383777,61.432439,lentil
37,63,75,18.270015,17.57351,6.973212,89.239412,chickpea
96,34,32,25.140892,69.690964,6.14387,152.437626,coffee
100,35,34,24.911333,67.555707,6.806652,163.166329,coffee
32,64,49,40.33718,92.951257,6.656252,45.362336,papaya
22,17,37,18.909332,87.634847,6.997813,42.414831,pomegranate
84,38,21,18.018582,58.978227,6.934185,76.522029,maize
92,45,42,20.115007,93.94294,6.004875,274.218349,rice
39,78,83,17.429204,14.05436,6.383448,74.466707,chickpea
9,86,23,32.183706,30.925135,4.580971,124.261146,pigeonpeas
16,9,14,23.743651,91.163516,6.520715,110.018853,orange
19,17,36,24.264495,89.472459,6.47984,82.69313,pomegranate
17,70,17,26.445381,49.803853,7.469297,94.662667,pigeonpeas
24,20,27,25.797112,98.899456,5.891395,222.700299,coconut
6,71,16,16.912022,22.228189,5.831092,112.289624,kidneybeans
16,19,42,24.342995,89.890963,6.169342,65.722493,pomegranate
103,20,48,28.94974,94.673774,6.349404,25.335805,muskmelon
5,53,22,24.925745,49.666901,5.681725,48.765493,mothbeans
0,20,25,35.828572,51.384223,4.5048,66.348522,mango
23,66,21,26.842145,65.756487,6.168732,64.64762,lentil
107,83,45,29.278324,84.873977,6.167444,118.330699,banana
43,61,24,29.695568,69.111924,6.918407,70.77305,blackgram
24,29,26,33.579939,45.583126,5.844907,84.342322,mango
12,64,17,19.358412,23.170146,5.763292,139.80149,kidneybeans
32,36,34,28.823008,48.425546,6.748435,70.222518,mango
131,39,18,24.858029,81.07656,6.359659,93.748572,cotton
18,44,21,29.023379,83.295036,6.465973,51.260909,mungbean
52,53,47,42.061118,94.022857,6.666478,100.967244,papaya
31,141,197,16.330952,81.357586,5.553834,65.473174,grapes
17,128,195,29.619177,84.961634,6.142928,73.097938,grapes
21,70,16,25.461154,52.062798,4.86905,180.010005,pigeonpeas
67,57,47,32.340426,91.074828,6.954011,235.463666,papaya
79,52,41,26.834479,75.031707,7.009868,189.669544,jute
98,54,57,26.828651,92.83705,5.017571,223.197368,rice
37,76,81,20.921866,17.531973,6.091021,71.929398,chickpea
99,7,49,27.906264,94.609882,6.198534,27.212114,muskmelon
93,39,25,23.300738,68.021177,7.334028,191.462245,coffee
101,17,50,25.656427,85.666231,6.01039,53.564328,watermelon
105,43,60,26.1025,87.540811,6.383522,244.965695,rice
75,36,45,26.804281,79.227979,6.76073,166.811174,jute
65,47,52,42.213227,93.225597,6.78357,191.169493,papaya
37,123,198,12.653562,80.885843,6.365598,68.690736,grapes
119,8,50,27.879317,90.61903,6.851593,25.776788,muskmelon
47,71,23,34.968825,61.908743,7.291393,68.421621,blackgram
28,36,24,30.732492,33.002896,8.691022,63.835113,mothbeans
20,54,17,25.220489,61.676605,8.015203,57.097201,mothbeans
42,61,75,18.094931,16.772585,7.276726,68.561959,chickpea
32,79,20,28.917147,65.416423,6.645242,67.651252,blackgram
18,28,34,33.936789,52.153451,5.931674,76.500307,mango
91,93,53,25.486956,80.754712,5.657752,96.791789,banana
36,15,33,27.075039,49.63215,5.013867,98.3082,mango
15,12,38,20.522335,90.909657,6.224524,69.647596,pomegranate
78,36,44,23.129684,74.645228,6.574005,196.988151,jute
17,8,15,20.854082,92.72277,6.113136,105.590867,orange
90,11,53,28.684445,92.88668,6.978157,20.776752,muskmelon
22,77,83,19.175686,19.875947,6.1452,91.833426,chickpea
25,72,21,22.348531,62.796847,6.47812,46.393338,lentil
107,48,18,22.436492,83.493372,6.525672,90.716024,cotton
59,45,52,35.98956,91.894638,6.825032,179.94307,papaya
38,134,193,29.207339,80.449002,5.682654,74.959029,grapes
10,61,19,24.082731,20.863151,5.666124,149.057257,kidneybeans
27,63,25,18.711647,60.589223,6.823237,59.414806,lentil
22,136,198,21.729041,93.981985,5.671014,116.263493,apple
99,50,53,22.580092,82.053504,6.233177,202.781749,rice
101,18,51,27.197773,92.098654,6.6602,29.880344,muskmelon
26,127,201,23.732643,93.075829,5.684043,107.65406,apple
47,65,49,37.430346,90.120237,6.958829,155.112787,papaya
27,72,22,33.241621,62.852879,7.402,70.779713,blackgram
78,56,44,23.362535,75.900036,7.186625,159.765437,jute
33,69,83,17.712804,15.027032,6.863685,76.226177,chickpea
21,54,19,27.801907,44.050734,4.859868,44.656669,mothbeans
5,72,15,26.821708,60.422217,6.67408,45.309221,lentil
21,122,191,24.677408,84.66003,6.136695,74.000456,grapes
81,59,44,26.826346,76.95412,6.659145,189.727133,jute
20,72,19,15.105857,24.754496,5.981012,79.579699,kidneybeans
115,18,52,27.499697,91.318148,6.192304,28.324686,muskmelon
67,57,51,39.250526,94.27656,6.551498,151.869345,papaya
20,124,203,21.508156,84.886202,5.641025,73.561011,grapes
38,62,54,23.983715,93.228438,6.820856,127.088873,papaya
95,52,57,24.402873,93.08976,5.410313,275.76562,rice
108,30,33,23.254886,52.418419,6.678033,158.968933,coffee
120,15,47,27.34211,91.310579,6.735502,25.504468,muskmelon
5,51,19,30.791405,39.942026,6.680138,56.203572,mothbeans
111,92,55,25.615943,78.96784,5.548676,110.8936,banana
52,55,48,42.950562,91.552084,6.834836,242.393321,papaya
39,8,9,23.814731,91.680434,7.296937,110.850749,orange
16,77,21,15.909693,24.866856,5.622925,123.94548,kidneybeans
112,10,48,26.052317,87.71406,6.013063,48.754013,watermelon
24,67,25,31.185775,49.088899,6.21131,157.196,pigeonpeas
28,143,205,22.401649,93.374087,6.474575,121.336311,apple
102,12,51,25.096287,84.052153,6.168799,47.455257,watermelon
103,15,52,24.125483,83.777972,6.372038,42.557375,watermelon
24,66,23,22.710617,43.677366,4.730455,96.089194,pigeonpeas
19,71,22,23.204622,19.615418,5.662962,123.752424,kidneybeans
15,41,17,27.237439,34.196637,5.772656,48.046209,mothbeans
22,79,20,21.493727,21.504845,5.641779,85.753284,kidneybeans
91,38,45,25.243293,74.739746,7.203247,178.867614,jute
22,22,33,26.15164,93.43271,6.306742,179.697228,coconut
101,58,20,23.520268,84.408967,7.414163,72.467643,cotton
18,72,25,19.994615,18.954046,5.843146,114.186797,kidneybeans
37,20,11,12.647376,91.134942,6.279548,103.773072,orange
102,40,17,22.173789,80.986304,7.948454,95.695549,cotton
18,86,19,33.111388,56.090277,5.413715,91.505725,pigeonpeas
9,11,40,20.756436,87.110316,6.226158,86.80219,pomegranate
104,37,18,24.670327,76.18343,6.519722,99.837495,cotton
118,57,23,25.486602,77.042246,6.880058,74.75384,cotton
32,130,205,21.191953,92.514432,5.769806,102.527156,apple
125,58,21,22.947162,77.656456,6.589406,94.83867,cotton
29,141,196,22.318401,93.544766,6.230161,101.795123,apple
14,12,14,28.357037,91.678327,7.345801,106.315909,orange
93,40,23,18.10954,61.456591,5.844351,85.343148,maize
25,140,201,11.836138,83.719955,5.615111,74.177545,grapes
91,71,49,26.783101,77.458902,6.028972,104.740571,banana
11,144,204,23.49494,92.25761,5.990066,109.364432,apple
10,59,17,26.026092,60.369849,6.272954,43.034868,mothbeans
86,44,47,25.746953,81.456519,6.256917,191.531809,rice
8,78,17,23.435904,22.874266,5.683162,107.625684,kidneybeans
104,83,53,29.435391,75.020119,6.473627,103.603018,banana
118,40,53,24.202746,88.831094,6.444155,182.024601,rice
1,75,16,21.491753,69.17102,6.775355,56.550479,lentil
41,66,81,18.720723,19.454557,6.374722,89.420494,chickpea
30,10,43,23.478812,85.194632,6.190413,84.004571,pomegranate
112,76,46,28.303845,77.190956,6.049008,99.030123,banana
37,77,84,17.131104,15.464942,6.678189,71.605627,chickpea
96,16,54,28.576317,92.010698,6.394633,20.565918,muskmelon
33,11,39,22.004321,88.420954,6.300235,50.372691,pomegranate
22,131,201,23.942963,93.034905,5.725266,106.635176,apple
16,75,20,24.473401,69.51501,6.738357,54.169445,lentil
102,11,46,29.604169,90.56164,6.139468,21.492482,muskmelon
37,8,6,21.340959,90.095759,6.745445,114.768852,orange
42,69,23,31.2348,62.782734,6.501469,69.828677,blackgram
83,12,50,29.912456,94.367591,6.930553,22.7073,muskmelon
9,54,20,31.93742,50.619327,9.502373,35.366316,mothbeans
33,20,25,32.790932,46.721053,4.654267,97.681983,mango
30,69,78,17.526387,14.235263,6.050464,74.50426,chickpea
4,16,40,21.635737,87.840456,6.269063,49.235286,pomegranate
31,16,30,30.619965,45.72783,6.546811,79.104519,mango
44,66,77,19.332552,15.548216,6.946771,94.196169,chickpea
40,8,32,25.385331,95.806806,6.271095,177.001502,coconut
112,11,48,29.583123,92.827653,6.472899,28.913437,muskmelon
100,93,51,25.686048,76.649678,6.421973,97.00513,banana
30,69,19,27.724325,30.327492,5.02451,192.966492,pigeonpeas
58,51,53,28.10888,94.157692,6.794426,147.657182,papaya
78,41,41,26.462821,73.967453,6.571117,156.592772,jute
23,68,21,27.785422,66.668632,6.603551,57.045591,lentil
104,42,22,22.283566,84.768003,7.416921,83.94974,cotton
120,47,49,22.647716,94.692904,5.261988,219.35856,rice
104,72,50,28.072564,84.391027,6.421272,110.186436,banana
32,21,31,27.838948,94.053233,5.673302,202.228068,coconut
103,52,51,21.561571,94.291235,5.670688,281.569041,rice
38,74,17,28.147593,66.321208,6.647884,74.556824,blackgram
69,56,23,19.432316,67.114239,5.673493,96.394408,maize
30,17,9,23.112322,92.29716,6.936787,114.59716,orange
84,20,49,26.620839,86.196964,6.678213,46.859,watermelon
116,59,48,25.542075,87.933424,5.852067,291.071597,rice
9,140,203,23.818187,93.913466,5.864945,112.766306,apple
14,124,195,16.035055,83.228911,5.561822,73.66115,grapes
30,78,18,31.134907,49.827997,7.143503,188.616239,pigeonpeas
32,138,192,22.091088,80.617434,5.962247,71.548325,grapes
33,65,81,18.211619,17.463704,6.339356,70.581418,chickpea
21,32,30,27.892881,45.606592,6.040041,92.891194,mango
81,42,43,24.833785,74.687059,6.00095,155.146791,jute
33,11,45,22.657804,88.130556,6.561434,63.130526,pomegranate
81,47,15,21.828616,56.271075,5.81238,106.619697,maize
2,34,31,31.187342,49.135569,6.070389,97.096737,mango
34,136,200,16.649655,81.334402,6.432096,69.114085,grapes
93,94,46,29.801256,79.771072,5.935961,116.171997,banana
39,53,24,29.8577,83.310088,6.363927,54.667126,mungbean
2,77,21,21.845074,43.381775,5.874837,95.28856,pigeonpeas
87,75,47,28.713982,84.434909,5.627155,108.698499,banana
125,47,20,25.713111,84.78284,7.652098,74.281305,cotton
26,60,23,32.286999,64.850259,6.805965,68.916117,blackgram
23,121,205,23.315287,94.871949,6.14277,123.552843,apple
6,143,203,22.582724,93.266259,6.337627,113.190691,apple
88,58,37,25.222045,84.827169,7.468889,160.453814,jute
79,38,43,26.135704,88.447527,6.919212,196.351215,jute
86,19,53,24.937876,87.519459,6.567352,43.324784,watermelon
35,63,84,20.043171,19.989194,6.595446,72.945622,chickpea
81,92,52,25.909292,77.057042,5.8982,106.909706,banana
18,20,38,18.637446,90.67195,6.007472,70.562282,pomegranate
118,76,45,29.608534,77.64328,6.473103,100.600976,banana
2,71,19,24.87435,18.095588,5.80609,125.126078,kidneybeans
34,135,204,24.394751,81.831297,6.134799,68.697197,grapes
91,53,16,21.566005,58.348716,6.732856,95.026431,maize
93,22,31,27.641027,54.967329,6.56216,159.203004,coffee
95,47,24,19.669661,65.653372,5.989404,75.827128,maize
98,48,38,23.503304,70.247392,6.708869,179.330332,jute
5,141,194,16.888076,80.237117,5.649143,65.017898,grapes
103,28,31,23.104361,69.553006,6.093666,166.323532,coffee
3,41,20,28.590532,84.156719,6.293125,45.285471,mungbean
